,Comment,Sentiment
0,"As a professional driver this is my dream, I&#39;ve not met a car I can&#39;t drive yet.",0.1
1,"Anyone know which song this is? <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1783"">https://youtu.be/xgwaz7Z9FIU?t=1783</a>",0.0
2,Think Simon team and josh team should have to have a forfeit for Fabricating stories. Ethan and Tobi get revenge,0.0
3,"Josh im about to dislike this video, and thats gonna be a sidemen first for me",0.25
4,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=7200"">2:00:00</a> Tobe getting real G for a sec 😂",0.05
5,Im dropping a comment everytime he stalls,0.0
6,Zerk get out the lambo bro 😂,0.0
7,"If you can’t drive stick don’t bother even attempting to drive a a collector car, people are people their cars in these immature boys.",0.0
8,No Josh mahn thats my baby 😭,0.0
9,W vid,0.0
10,"JME is kinda boring, can we get some other guest next time?",-0.375
11,Lambo all-day 💯🔥josh and harry got the banger 💯🔥💪,0.0
12,You guys literally drove past me near the start. I remember seeing a blue mclaren a week or so ago when i was on the way to the shops 😂,-0.049999999999999996
13,jamie being so annoying the whole video damn,-0.30000000000000004
14,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=2226"">37:06</a> whats the name of this song",0.0
15,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=4070"">1:07:50</a> I have genuinely been in 4 of these Escort that ended up on their roofs! also you can operate the temp dial from the foot well 😂😂",0.5
16,Love these road trips ❤,0.5
17,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=2032"">33:52</a> “autism and that” and flips to harry and josh the tism brothers 😂",0.0
18,keeping this from us and giving out a 20v 2 is criminal easily 10/10 rating,0.016666666666666663
19,Get in the drink,0.0
20,Horrible video,-1.0
21,"Josh is genuinely the most entertaining out of them all now, and consistently shows up with good vibes too, it’s wholesome to think he went from ‘most boring’ to the best sidemen member and it’s likely all down to working on his anxieties 🫶",0.26944444444444443
22,Jme explaining the whole history of sidemen to that lady got me,0.2
23,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=621"">10:21</a> what did he sayyyyy?",0.0
24,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=616"">10:16</a> the alignment on that countach is crazy 😂",-0.6
25,Bro jmi is cringe,0.0
26,2hrs far too long got boring,-0.31666666666666665
27,Harry ❤,0.0
28,"Woooow🎉🎉🎉 <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=3737"">1:02:17</a>",0.0
29,"Harry:  homeless man , someone disabled ,one logged 🤣🤣🤣🤣",-0.2
30,"Rip Ethan, no car is safe.",0.5
31,Genuinely enjoyed this one. Each duo was kind of perfect w each other,0.49375
32,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=3450"">57:30</a> I&#39;m here",0.0
33,that countach is incredible,0.9
34,Bro I saw that rover for sale on marketplace no so long ago😂😂,-0.05
35,"people are so upset with that NHS lady 🤣 its not that deep, her daughter was a fan, and she was absolutely happy to br in the video, can we enjoy the episode and stop complaining for some nonsense 🤦‍♀️geeeez",0.4000000000000001
36,Japan or Hongkong Road Trip next?,0.0
37,this was a great video!!,1.0
38,Did Simon accidentally reveal that he&#39;s having a daughter,0.0
39,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1377"">22:57</a>",0.0
40,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=462"">7:42</a> That sounded very expensive 🥲😨",-0.65
41,Simon has no trust in JME,0.0
42,"jamie, dont try too hard, just chill out",-0.2916666666666667
43,"At <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1980"">33:00</a> harry was holding on for his life😭",0.0
44,run out of budget is priceless 🤣🤣🤣🤣,1.0
45,man those laughs are soo funny heheheheheheheheheh,0.25
46,"Could anyone tell me the name of this jam? <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=4393"">1:13:13</a>",0.0
47,"Sidemen was in Lawrence Weston, Bristol?!?!",0.0
48,Of course a tory puts the nhs last,0.0
49,Gotta love a Stephen Tries collab😂😂😂,0.2
50,Banger,0.0
51,They should have vik with a flag to start driving,0.0
52,not the majority of this vid being in bristol lmao,0.6
53,"Vik is a savage for mom <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=3963"">1:06:03</a>, i mean loooool",-0.3125
54,Thank you for the great content!,1.0
55,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=4610"">1:16:50</a> average winchmoore hill",-0.15
56,All I got from this video is that Simon is a MASSIVE p*ssy,0.0
57,"Big City Life in the Bentley, bringin back the Tommy T vibes",0.0
58,W vik,0.0
59,I can&#39;t do axunts eithers,0.0
60,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=2189"">36:29</a> I think I enjoyed it more having the copyright free music over than I would have the original music 😂😂😂",0.44375
61,Vik obviously shafting ethan every chance he gets. Putting an nhs worker last is horrific!,-0.3333333333333333
62,"Not Harry climbing over the seats <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1630"">27:10</a> 😕😂",0.0
63,"ethan @<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=3976"">1:06:16</a> 🤣🤣🤣🤣",0.0
64,Josh and Harry in Bentley were the best.,1.0
65,harry: should we just end vikstar and end this video now🤣🤣,0.0
66,Jme annoys me so much like brev come on,0.2
67,NHS Children’s end of life care and he puts her last 😮,0.0
68,People really see the 2 hours of the video? is just too much for seeing random people doing random things... idk if anyone feels the same,-0.12
69,Not Josh having issues with the most expensive car,0.0
70,Love this!,0.625
71,great video. havent watched a sidemen sunday in ages but this one was finally my vibe,0.4
72,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1723"">28:43</a> “She needs a dad” 👀👀",0.0
73,"Harry and josh having a whole party in the bentley was actually so funny <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=2048"">34:08</a>",0.225
74,"Ethan really does have to ruin every video he’s in doesn’t he - you’re a grown man, it’s just pathetic",-0.4
75,Simon is really a chill guy......shut up jme for a second,0.1
76,"Vik cooked with this video, absolute cinema",0.2
77,I&#39;m glad that I&#39;m not the only one outraged at the health care worker getting last place. Sometimes I question the point in rules and penalties in these videos,-0.1
78,"I really enjoyed this video, it&#39;s one of my favorite videos now.",0.5
79,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=1160"">19:20</a> josh had a great idea Harry’s execution wasn’t all great 😂",0.8
80,Vikk deserves a bad team slot for that fumble picking the people stories,-0.6999999999999998
81,"jamie look like mickey mouse <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=4447"">1:14:07</a> for sure",0.5
82,Petition to release Josh and Harry’s Bentley playlist,0.0
83,Loved the Pendulum car party,0.7
84,When Harry kept putting the seat forward my stomach hurt from laughing 😂😂😂,0.0
85,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=6413"">01:46:53</a> the way Lil JME pulls up into the frame 😂",0.0
86,Ethan is so dirty,-0.6
87,Dad Simon is coming out,0.0
88,Josh and Harry are such a great duo!,0.5
89,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=838"">13:58</a> Nahh Ethan’s vibe throughout the vid was absolutely peak 😭😂",0.2
90,I really liked this video!! I hope the next one is like a game show type!,0.14583333333333334
91,Act like you couldn&#39;t afford theses cars comonnn,0.0
92,The teams in this video fit each other perfectly😂,0.1375
93,that was OUTRAGES that vik didn&#39;t pick the NHS worker btw!,0.0
94,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=2233"">37:13</a> love this part where they sync",0.5
95,"The brizzle accent on YouTube ❤ <a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=3571"">59:31</a>",0.0
96,"<a href=""https://www.youtube.com/watch?v=xgwaz7Z9FIU&amp;t=4714"">1:18:34</a> “okaeyy we pull uhhpp”  famous harry line",0.5
97,Where is jj,0.0
98,"dnb <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>",0.0
99,Good video,0.7
